,id,page_source,link,title,content,address_street,address_ward,surrounding,surrounding_name,surrounding_characteristics,interior_room,project,address_city,address_district,transaction_type,realestate_type,price_sell,price_rent,legal,floor,position_street,potential,area_origin,address_number,lat,long,coordinate,price_m2,orientation,area_cal,post_id,post_date,crawled_date,created_at,price_score,price_score_filter,geom,status_price_score,price_score_timestamp,comment_id,comment_filter_id,is_suspicious,created_by,contact_phone,hash_post_key,number_duplicated_post,orientation_id,done,district_name
0,98573,6,https://landber.com/tin-dang/Ads_01_23725782,"Cần tiền bán gấp căn nhà 1 lầu Võ Văn Ngân, Thủ Đức, SHR, XDTD, 40m2, giá 1,7 tỷ, LH: 0345673500","Nhà đẹp, ko xem là phí cả thanh xuân.


Mặt tiền siêu to, đẹp, khổng lồ.


* Vị trí siêu đắc địa nhất khu vực.
* Cạnh Coopmark, kế Đại Học Luật, Liền kề Phạm Văn Đồng và Quốc Lộ 13.
* Diện tích: 4,5 x 13,75m = 61,8m2.
+ Giá siêu đẹp: 7,55 tỷ.
+ Có sổ hồng riêng, bao sang tên.
+ Bảo hành nhà 5 năm.
* Bank hỗ trợ 60% tối đa 20 năm.
LH: 0938 689 580.",22,bình thọ,chợ,,,3 phòng ngủ,,1,24,1,2,3750000000,200000000,3,2.0,0,{2},"{0,0}",,10.832372421169,106.714573103471,"(106.718784199713,10.8250060437218)",68170002.01201539,,37.5,Ads_01_21429750,1589065729,1573982392,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000D742F97CBEB05A404F3AFB9A97B42540,1,,1,7,False,2.0,932614238.0,451d4d8b498746ebe1716b397b46bf02,1,,2,Quận Thủ Đức
1,458311,6,https://landber.com/tin-dang/Ads_01_23414450,NHÀ CHÍNH CHỦ MỚI XÂY 1 TRỆT 2 LẦU - SHR- NGAY hHẺM 668 QL13 56M2,"Tôi cần sang nhượng gấp căn nhà MT đường số 8, đi 5 ph ra sa lộ đại hàn, 3ph ra Coop extra

Khu này dân cư đã đông đúc, có thể kinh doanh buôn bán mở quán CF, trà sữa,...

Đi xem thực tế mới thấy ok hay không chứ không nói qua điện thoại nhiều rồi không đi xem.
Giá: 2.8 tỷ( bao giá rẻ nhất khu vực - không thương lượng qua điện thoại tốn thời gian, phiền phức
Có sổ, có thể vay ngân hàng.
Diện tích: 54m2
CÓ thể giảm cho ai thiện chí, anh em ai giới thiệu gửi tiền bông hồng
Gọi: 0966 539 386","17,Quận Thủ Đức,Hồ Chí Minh",hiệp bình chánh,"chợ, chung cư, chợ",Tỉnh Lộ 43,,4 phòng ngủ,,1,24,1,2,7900000000,0,2,1.0,1,{1},"{4.2,17}",,10.8784934448281,106.718264529203,"(106.729255837485,10.8293047263232)",3100000000.0,tây - nam,205.0,propzy_56440,1591854228,1588806571,2020-02-12 08:49:25.145194,2.0,0.0,,0,2020-04-13 10:56:02.143199,0,7,False,1.0,,251a6861bfd9a246a4527624507d2608,1,,0,Quận Thủ Đức
2,138726,6,https://propzy.vn/mua/ban-nha-2-mat-hem-xe-hoi-xay-dung-kien-co-phuong-hiep-binh-chanh-quan-thu-duc-id57724,CHÍNH CHỦ CẦN BÁN NHÀ ĐƯỜNG HỒ VĂN TƯ GẦN NGAY CHỢ THỦ ĐỨC . LH 0908280970,"Bán gấp nhà 3 tầng hẽm đường 30 Linh Đông, Thủ Đức.( ngay chung cư 4s , cách đường Phạm Văn Đồng vài bước chân)--- Giá = 5.1 tỷ - Hướng : Tây Nam.-- Diện tích đất : 52m2 ( 4.2 x 12.3 ) DTSD : 147m2-- Hẽm nhựa hiện hữu xe hơi vào trong nhà, ko ngập, yên tỉnh , thoáng mát , dân trí, an ninh.-- Hiện trạng : Nhà trống, mới chưa ai ở, đúc kiến cố, xây tâm huyết, bảo hành trọn đời.-- Thiết kế : 4 pk ngủ, pk khách (gara oto ), pk bếp, wc riêng.-- Nhà đất thuộc quy hoạch khu dân cư hiện hữu.-- Tiện mua ở cho đại gia đình.-- Pháp lý : sổ hồng, hoàn công.-- Hỗ trợ ngân hàng.LH :0977 274 217 em Đông",,bình thọ,"trung tâm hành chính, kinh doanh, Karaoke, Hotel, nhà hàng, chợ",Vành Đai 2,"yên tĩnh, trí thức",3,,1,24,1,2,650000000,0,3,1.0,3,{2},"{0,0}",11,10.837862372482,106.742204983403,"(106.766323070208,106.766323070208)",67627055.9928678,,90.0,Ads_02_13140677,1588611600,1574029001,2020-06-30 11:07:39.562068,7.9,3.6,0101000020E61000004D61E365CDB15A40FC5C4CD881B72540,1,2020-04-13 02:32:01.661491,1,8,False,1.0,703691507.0,ba84a0d2a4c72faa8c9a2e86f0ac916f,1,,0,Quận Thủ Đức
3,577096,6,https://landber.com/tin-dang/Ads_01_24814329,"Bán gấp trong tuần nhà cu 1 trệt 2 lầu đường 38 hiệp bình chanh, giá rẽ","Bán nhà nhỏ hẻm xe ô tô vào, cách chợ Hiệp Bình 200m, cách đường chính 20m, 2 phút đến đại lộ Phạm Văn Đồng.
- Đất ở đô thị sử dụng lâu dài công nhận 26 m2.

- Nhà trệt lửng 1 lầu, mới xây dựng.
- Cần bán giá 2.975 tỷ.

Liên hệ môi giới 0938007389
Còn vài căn giá 2.x tỷ, hỗ trợ giấy tờ công chứng, thuế, đăng bộ.",đường 9,trường thọ,chung cư,"Giga Mall, chung cư Opal, TTTM Giga Mall, Phạm Văn Đồng, quận 1, quận 2, Bình Thạnh, sông Hiệp Bình, Thủ Đức, sông Sài Gòn","thông thoáng, an ninh, yên tĩnh",,,1,24,5,2,19000000000,0,3,4.5,0,{2},"{4,33}",,10.855757276157501,106.72649300632,"(106.73616207986,106.73616207986)",12361111.111111099,,66.0,bdscomvn_24565525,1578502800,1584076590,2020-02-21 18:51:01.691371,2.0,0.0,0101000020E6100000250DED36C3AE5A402901452454AA2540,1,2020-04-13 08:27:02.281712,2,8,False,3.0,934369593.0,19b458c50555f8f552b27d0b634bd91a,1,,1,Quận Thủ Đức
4,467561,3,https://landber.com/tin-dang/Ads_01_23319485,"Bán đất tặng nhà cấp 4, đường số 6 Tam Phú - Thủ Đức DT 69m2(4.8x14.5m) giá 3.85 tỷ LH 0907.260.265","Bán nhà đường 13 Linh Tây, đường nhựa 8m, nhà trệt 1 trệt 1 lầu gần Phạm Văn Đồng.
Diện tích: 100m2, ngang 5mx20m.

Hướng: Tây Bắc.
Giá: 6.4 tỷ TL.

LH: 0938788709 Khoa.",Số 3,hiệp bình chánh,"sông, sông, ngã tư, Đại học, nhà thờ, sân bay, sông","Phú Nhuận, TTTM Giga Mall",an ninh,2,,1,24,1,2,3550000000,0,3,2.0,3,{2},"{5.75,6}",,10.8454229312794,106.74402565361,"(106.724383120611,10.8302402926602)",58997836.6803268,,170.0,Ads_01_23226927,1573318800,1578730364,2020-05-09 00:31:01.466537,2.0,3.6,0101000020E610000045911181D0AE5A40F29679995FC42540,1,2020-04-13 04:11:01.845606,10,8,False,2.0,888966768.0,0ecc76d769c4da240b59f37151fd8682,1,,0,Quận Thủ Đức
5,167446,6,https://landber.com/tin-dang/Ads_01_23924348,"Bán 200m2, Biệt thự Sân vườn , hiện tại đang KD Cà phê, đường","Cần bán 205m2 đất Mặt tiền đường 8 Phường Linh Xuân quận Thủ Đức,HCM<br/>Vị Trí:<br/>gần chợ Xuân Hiệp,khu đại học quốc Gia,đường đông đúc,kinh doanh đa ngành nghề<br/>Nhà sổ hồng riêng thổ cư 100%<br/>Diện tích:205m2<br/>Giá bán:11 tỷ <br/>Lh:0906.697.386<br/>    0974.837.682",42/3 số 11,linh đông,Đại Lộ,Vạn Xuân,"an ninh, yên tĩnh, an ninh, yên tĩnh",2 phòng ngủ,84/12 Đường Số 6,1,24,1,2,6230000000,0,3,1.0,1,{1},"{4,18}",,10.833330307388401,106.764740298783,"(106.732169819846,10.831693062144)",36521739.130434796,nam,116.0,Ads_02_13173408,1573664400,1587261733,2020-02-26 05:31:01.730477,2.0,3.6,0101000020E6100000A10C4AA691B05A404D2D3B9CB0B02540,1,,0,0,True,2.0,,a3b682ce9bd81b1c7978f8bdeb0f1c7d,1,,0,Quận Thủ Đức
6,165110,6,https://landber.com/tin-dang/Ads_01_23491071,"Nhà riêng Quốc Lộ 13 mặt tiền đường 20m, DT 110m2 4 tầng giá rẻ 7 tỷ 0948840976","*Bán nhà hẻm đường số 5 phường linh chiểu tđ

Hiện trạng ngang 4 x 20 DTSD 80 m2 hướng nam

Vị trí căn nhà cách nhà văn hoá thiếu nhi thủ đức 200 m cách đường hoàng diệu võ vân gân 300 m
Nhà cấp 4 còn rất mới vuông vức đặc biệt khu dân chí cao . Pháp lý sổ riêng 
Giá bán 4,3 tỷ
Liên hệ 0937752879 gặp hải",Lê Thị Hoa,hiệp bình chánh,"bệnh viện, Trường học quốc tế, Hồ bơi, công viên",,,4,,1,24,1,2,6600000000,0,3,1.0,6,"{2,1}","{4.55,13.6}",8.0,10.8463811123756,106.75606075633301,"(106.724669571882,10.8306844473746)",51962831.1777521,tây - bắc,75.0,Ads_02_13060629,1581526800,1574000796,2020-02-12 08:49:25.145194,2.0,3.7,0101000020E61000004D32EFBB1FAF5A40225485664BBB2540,1,,0,7,False,3.0,933077076.0,41e9bc86a78940601e4caa92f0b03fd0,1,,0,Quận Thủ Đức
7,411967,6,https://landber.com/tin-dang/Ads_01_22060271,"Bán nhà 1 trệt 2 lầu 73m2 - 7,3 tỷ - Sân ô tô riêng, 5p ra cầu Bình Lợi, Hiệp Bình Chánh, Thủ Đức","- Mặt tiền đường Số 11, ngay nhà thờ FaTiMa, P. Hiệp Bình Chánh, Thủ Đức.
- Căn góc 1 trệt 2 lầu, 3PN, 4WC, sân để ô tô...
- DT: 12.7 x 19m = 222m2 (thổ cư 100%).- Sổ hồng riêng hoàn công.- Giá: 13 tỷ 018 triệu còn Thương Lượng.- Có BIDV hỗ trợ vay tối đa 70% giá trị nhà trong 20 năm (Bao hồ sơ).- Liên hệ chủ xem ngay: 0778.698.776(Hỗ trợ xem 24/7).",Số 17,trường thọ,công viên,"Vách KĐT Vạn Phúc, QL 13, Hiệp Bình Phước, Vách KĐT Vạn Phúc, QL 13, Thủ Đức, Quốc lộ 13, khu đô thị Vạn Phúc, cầu vượt bình triệu, quận 1, bình thạnh, khu đô thị Vạn Phúc, Quốc Lộ 13, Hiệp Bình, Quốc lộ 1 A, ngã tư Bình Phước, Phạm Văn Đồng, ngã tư Bình Triệu, sông Hiệp Bình Chánh",,2 phòng ngủ,,1,24,1,2,3900000000,0,3,3.0,6,"{2,1}","{4,10}",,10.8556917102015,106.726669752239,"(106.766339879468,10.8505347392734)",216666.666666667,,84.0,Ads_01_24028316,1573232400,1574014481,2020-06-26 02:46:03.878561,7.8,3.6,0101000020E610000017A4C010BFAF5A406BEAE30EE9B12540,1,2020-04-13 01:51:02.501705,1,8,False,2.0,903527225.0,28b42d27583f1066858b59f1b3962c45,3,,2,Quận Thủ Đức
8,575195,6,https://landber.com/tin-dang/Ads_01_20449118,"Bán nhà mặt tiền đường số, dân cư đông đúc phường Tam Phú, Quận Thủ Đức","Căn nhà có vị trí đắc địa trên trục Đặng Văn Bi, xây dựng kiên cố thích hợp cho thuê ngân hàng, siêu thị, văn phòng công ty, phòng khám, trà sữa, coffee cao cấp...<br/><br/>Liên hệ: 0911615* - Vũ Tâm MT - Công ty BĐS Trí Tâm: Chuyên bán mặt tiền các trục đường chính khu vực Thủ Đức - Quận 9.<br/><br/>Nhận tư vấn bán - mua BĐS miễn phí! Phân tích miễn phí về đặc điểm khu vực, pháp lý, giá cả, tình hình thị trường.<br/><br/>BIDV hỗ trợ vay 70 - 75% giá trị mua bán, lãi suất ưu đãi cho khoản vay trên 5 tỷ.<br/><br/>* Đặc biệt, tôi còn nắm giữ nhiều mặt tiền kinh doanh lớn, nhỏ khu vực quận 9 - Thủ Đức trên các tuyến đường Đỗ Xuân Hợp, Lê Văn Việt, Võ Văn Ngân, Đặng Văn Bi, Kha Vạn Cân, Song Hành, Xa Lộ Hà Nội, Hoàng Hữu Nam, Nguyễn Văn Tăng với tầm giá từ 5 tỷ - 450 tỷ.",Kha Vạn Cân,hiệp bình chánh,,"chợ Thủ Đức, Xa Lộ Hà Nội, Phạm Văn Đồng","sach sẽ, an ninh, thoáng mát",,,1,24,1,2,12200000000,0,2,1.0,0,"{2,1}","{4,15}",,10.8413314042351,106.730683917167,"(106.725738489833,10.8413978223021)",76586690.1376866,,67.0,Ads_03_5594834,1573491600,1573976864,2020-03-08 01:08:01.843121,0.0,3.6,0101000020E61000008285F746F1B05A401B860746B0B32540,0,,9,0,False,2.0,901130437.0,dfa7296843feab8471a832e0fe2fe2c7,1,,2,Quận Thủ Đức
9,384009,6,https://landber.com/tin-dang/Ads_01_21899119,"Khách sạn 3 tầng, 15 phòng ngay chi cục thuế đường Số 6, Linh Chiểu, Thủ Đức, giá = 7 tỷ TL","BÁN GẤP- Nhà 1 Trệt 1 Lầu, hẻm 185 Ngô Chí Quốc, Bình Chiểu, Thủ Đức 
- DT: 51,2m2 (4x13m). Hoàn công đầy đủ
- 2 phòng ngủ lớn, 1 phòng thờ.- Oto để trong nhà- Tặng 01 bộ bàn ghế gỗ xịn phòng khách + phòng ăn trị giá 50 triệu.- Giá: 3 tỷ 150 triệu Lh: 0976.974.095 để xem","Số 35,Quận Thủ Đức,Hồ Chí Minh",bình chiểu,,,sầm uất,"4 phòng ngủ, 5 wc",,1,24,1,2,4500000000,0,3,2.0,3,{2},"{5.3,22}",,10.8551733767874,106.71403446753,"(106.732530098108,10.8376164226817)",49627453.6509414,nam,155.6,bdscomvn_24285751,1574258505,1578693562,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000436F980924B15A401BD70F32C6B72540,0,2020-04-13 05:03:01.730153,10,7,False,1.0,917227900.0,0ce1f59b1b69dcc17473e586d9250eb7,1,,2,Quận Thủ Đức
