,_id,_id_x,id,page_source,link,title,content,address_street,address_ward,surrounding,surrounding_name,surrounding_characteristics,interior_room,project,address_city,address_district,transaction_type,realestate_type,price_sell,price_rent,legal,floor,position_street,potential,area_origin,address_number,lat,long,coordinate,price_m2,orientation,area_cal,post_id,post_date,crawled_date,created_at,price_score,price_score_filter,geom,status_price_score,price_score_timestamp,comment_id,comment_filter_id,is_suspicious,created_by,contact_phone,hash_post_key,number_duplicated_post,orientation_id,done,label_cluster,_id_y,gglat,gglong,district_name
596,60464d205cf0a538f8c88bda,604330eb886de23638253aac,514995,6,https://landber.com/tin-dang/Ads_01_24465850,"Nhà phố DT 5*20m, 4 tầng, sát quận 1,5, đường 20m, ngay trường quốc tế Singapore, giá chỉ 12,6 tỷ","Hot: Tìm đâu ra căn nhà phố 4 tầng, cách trung tâm thành phố chỉ 5p đi xe, liền kề quận 1, quận 5. Đường trước nhà 20m, đối diện trường quốc tế Singapore, sát ngay công viên bờ sông mà giá chỉ 12,6 tỷ?
Vị trí nhà ngay khu Trung Sơn, đặc khu kinh tế kết nối giữa quận 7 với quận 5, quận 1 chỉ vài phút đi xe. Đường đôi trước nhà 20m, đối diện trường Quốc Tế Singapore, đi vài bước ra tới công viên bờ sông đối diện đại học Rmit.

Diện tích đất 5*20m, SHCN 100m2, xây dựng trệt, lửng, 3 lầu, DTSD 342,4m2, nhà thiết kế khoa học nên rất thoáng.
- Giá chốt nhanh trong tháng chỉ 12,6 tỷ, tặng hết nội thất cao cấp cho khách hữu duyên vào ở. Vị trí này quá đẹp cho khách định cư lâu dài và kinh doanh mọi ngành nghề.

LH: Lý Nhân 0915.999.768 vào xem nhà và gặp trực tiếp chủ.",,bình hưng,"trường quốc tế, trung tâm thành phố, trường quốc tế, công viên, sông, trường Quốc Tế, công viên, sông, đại học","quận 1, trường quốc tế Singapore, quận 1, quận 5, trường quốc tế Singapore, Trung Sơn, quận 7, quận 5, quận 1, trường Quốc Tế Singapore, đại học Rmit",,,Trung Sơn,1.0,1.0,1.0,2.0,12600000000,0,2.0,4.0,6.0,{2},"{5,20}",,10.7300727285643,106.688974692256,"(106.688974692256,10.7300727285643)",88566208.3333333,,100.0,Ads_01_24465850,1583427600,1583439283.0,2020-03-06 03:15:01.603985,2.0,3.6,0101000020E6100000CBC04E2918AC5A4036C5B917CC752540,1.0,2020-04-13 07:40:03.227977,1,8.0,False,3.0,915999768.0,6d8b276a42efffb2683c0f6c1714bd7d,1.0,,0.0,0.0,60464a125cf0a538f8c8613e,10.7745965,106.6679542,Huyện Bình Chánh
597,60464d205cf0a538f8c88bdb,604330eb886de23638253aaf,135533,6,https://landber.com/tin-dang/Ads_01_17515000,"Bán nhà phố 5x20m KDC Trung Sơn, giá 11,7 tỷ. Hotline 0919777238 Mr. Phong","Thiện chí bán nhà phố 5x20m, khu dân cư Himlam Trung Sơn kết cấu 1 trệt 2 lầu, sân thượng.
Hầm rộng đậu được 2 xe hơi và nhiều xe máy. Nhà có 4 phòng ngủ chính, phòng làm việc rộng có không gian để đọc sách và cửa sổ trước bàn làm việc. Trên sân thượng có tiểu cảnh và trồng nhiều cây xanh thích hợp để uống trà, thư giãn... Nội thất cao cấp sàn nhà lót gỗ tốt.

KDC Trung Sơn là khu an ninh không ngập nước, di chuyển về các quận nội thành trong vòng 5p. Các tiện ích công cộng có đầy đủ xung quanh: Trường học, công viên, trung tâm thương mại, bệnh viện...
Pháp lý: Sổ hồng.

Hướng: Bắc.
Giá: 11,7 tỷ ngân hàng hỗ trợ vay 80% giá trị giao dịch.
Để xem hình ảnh thực tế anh/ chị vào link: https://duyphongland.vn/sanpham/trung-son/
* Hotline 0919.777.238 Mr. Phong (nếu máy bận anh/chị vui lòng để lại tin nhắn Phong sẽ liên lạc với anh/chị ngay). Cảm ơn anh/chị đã đọc tin đăng.",,bình hưng,"Trường học, công viên, trung tâm thương mại, bệnh viện",,"an ninh, không ngập nước",4 phòng ngủ,Trung Sơn,1.0,1.0,1.0,2.0,11700000000,0,3.0,3.5,6.0,{2},"{5,20}",,10.7296721888394,106.688904686282,"(106.688904686282,10.7296721888394)",88566208.3333333,bắc,100.0,Ads_01_17515000,1573578000,1573993673.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E61000001269AE0317AC5A4060BBD79797752540,1.0,2020-04-13 07:40:03.020258,1,8.0,False,3.0,919777238.0,f4014c2148da7802970904b73728d9be,1.0,,2.0,0.0,60464a125cf0a538f8c8613f,10.7745965,106.6679542,Huyện Bình Chánh
598,60464d205cf0a538f8c88bdc,604330eb886de23638253ab4,145592,6,https://landber.com/tin-dang/Ads_01_23412709,"Bán dãy nhà trọ mới xây 12 căn xã Bình Chánh, Bình Chánh, 4x6 ( 24m2)/ căn, Giá: 4,8 tỷ, 4p tới chợ","Bán dãy nhà trọ mới xây 1 lầu 1 trệt xã Bình Chánh, Bình Chánh, cách QL1A 500m


Giá: 4,8 tỷ / 12 căn
Diện tích: 4x6m( 24m2) / căn và 48m2 dt sử dụng


-Khu dân cư đông đúc, mua về cho thuê đảm bảo sinh lời cao
-Nhà cách chợ Bình Chánh 4p, cách QL1A 300m, liền kề các khu công nghiệp lớn như: KCN Cầu Tràm,...
-Nhà có sổ hồng riêng, thanh toán đủ sang tên công chứng trong ngày
*** Có hợp đồng có khách hàng thuê lại với 3triệu/ tháng thời hạn là 1 năm

LIÊN HỆ: 0335368631 GẶp Hậu để xem nhà trực tiếp",,bình chánh,"chợ, chợ, khu công nghiệp, KCN","QL 1 A, chợ Bình Chánh, QL 1 A, KCN Cầu Tràm",đông đúc,2 phòng ngủ,,1.0,1.0,1.0,2.0,4800000000,0,3.0,2.0,6.0,{1},"{4,6}",,10.6636335290889,106.56838152201401,"(106.568381522014,10.6636335290889)",15673669.984475,,24.0,Ads_01_23412709,1573491600,1573986852.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000F02CE45C60A45A4072EE1FC6C7532540,1.0,2020-04-13 13:09:02.808362,1,8.0,False,2.0,335368631.0,f5d2269ccffe832fa1b9e32976db718f,1.0,,2.0,0.0,60464a125cf0a538f8c86140,10.7754981,106.6763197,Huyện Bình Chánh
599,60464d205cf0a538f8c88bdd,604330eb886de23638253ad9,265879,6,https://landber.com/tin-dang/Ads_01_23925218,"Cho thuê nhà nguyên căn 1 trệt 2 lầu, KDC Phong Phú 4 Bình Chánh. LH: 0906222401","Cho thuê nhà nguyên căn 1 trệt 2 lầu 75m2, 3PN, 3WC, thuộc dự án Lovera Park khang Điền, Bình Chánh
- Nhà hoàn thiện bên ngoài bên trong thô giá thuê: 6tr/th

- Nhà hoàn thiện nội thất cơ bản giá thuê: 10tr/th
- Nhà hoàn thiện full toàn bộ nội thất giá thuê: 13tr/th

- Nội thất bao gồm: 1 bộ ghế sofa, 1 bàn ăn + 4 ghế, 1 tủ lạnh, 1 bếp đôi, 3 tủ quần áo, 3 giường ngủ + 3 nệm
- Tiện ích đầy đủ, công viên, hồ bơi, phòng gym, sân bóng chuyền, sân tanic, gần chợ gần trường học các cấp....
- Liên hệ: 0906222401 . Ngọc thu",,phong phú,"công viên, hồ bơi, phòng gym, sân bóng chuyền, sân tanic, chợ, trường học",,,"3 PN, 3 WC, 1 bàn ăn, 1 bếp, 3 giường ngủ",Lovera Park,1.0,1.0,5.0,2.0,10000000,6000000,2.0,3.0,6.0,{2},"{0,0}",,10.699294855422302,106.64200361263399,"(106.642003612634,10.6992948554223)",9920833.33333333,,75.0,Ads_01_23925218,1576602000,1578449445.0,2020-02-12 08:49:25.145194,2.0,3.6,0101000020E6100000540B529616A95A407999ACF909662540,1.0,2020-04-13 05:51:02.036056,2,7.0,True,2.0,906222401.0,6c4235aa7ad1520b5824cae08cccaee6,1.0,,2.0,0.0,60464a125cf0a538f8c86141,10.7652375,106.677029,Huyện Bình Chánh
600,60464d205cf0a538f8c88bde,604330eb886de23638253b0b,435066,6,https://landber.com/tin-dang/Ads_02_13029700,"Thật bất ngờ khi chỉ 300 triệu đã sở hữu căn nhà 1 trệt 1L, nhà mới xây dọn vào ở ngay, 0902468902","Bán gấp căn nhà 1 trệt 1 lầu, nhà mới dọn vào ở ngay, ngay KDC Tân Đức, chợ chiều, khu công nghiệp Hạnh Phúc.
Nhà mới xây, đúc kiên cố xây theo kiểu Châu Âu, giá 610 triệu/40m2, ngang 5m x dài 8m, tặng bộ nội thất 30 triệu ngân hàng hỗ trợ cho vay 300 triệu.
Dân cư đông đúc tiện cho kinh doanh buôn bán đầu tư.LH gấp 0902.468.902 gặp Minh (giá thương lượng) - Quan tâm xin liên hệ sđt trên.","1,Huyện Bình Chánh,Hồ Chí Minh",bình chánh,"KDC, chợ, khu công nghiệp","KDC Tân Đức, khu công nghiệp Hạnh Phúc",đông đúc,2 phòng ngủ,,1.0,1.0,1.0,2.0,15250000,0,2.0,2.0,6.0,{2},"{5,8}",,10.664261136324301,106.56697893113399,"(106.566978931134,10.6642611363243)",15673669.984475,,40.0,Ads_02_13029700,1581958800,1581977244.0,2020-02-18 05:08:02.170119,2.0,3.6,0101000020E610000066AFFF6149A45A408F0821091A542540,1.0,2020-04-13 08:54:01.920224,2,7.0,False,2.0,902468902.0,8a50e69b58e6c20a998b8674c3acb139,1.0,,0.0,0.0,60464a125cf0a538f8c86142,10.7708267,106.681027,Huyện Bình Chánh
601,60464d205cf0a538f8c88bdf,604330eb886de23638253b15,714205,3,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-trinh-quang-nghi-xa-phong-phu-4-prj-lovera-park/1-can-duy-t-pho-khang-dien-chi-6-5-ty-con-thuong-luong-lh-0987910480-pr25807981,"1 căn duy nhất - nhà phố Lovera Park Khang Điền, chỉ 6.5 tỷ còn thương lượng. LH 0987910480","Bán căn nhà phố tuyệt đẹp, diện tích 5*16m, 4PN, 4WC, không lỗi phong thủy.<br/>Mặt tiền đường nhựa rộng 16m, có vỉa hè.<br/>Vị trí đẹp: KDC Phong Phú, Bình Chánh, giáp ranh quận 7, quận 8.<br/>View công viên lớn, gần hồ bơi, phòng gym, bảo vệ 24/24.<br/>Full nội thất cao cấp hơn cả nhà mẫu:<br/>+ Điều hòa Daikin.<br/>+ Tủ bếp Acrylic bóng kính của An Cường, mặt bếp bằng đá trắng sứ (đây là loại cao cấp nhất của nhà bếp), bếp điện từ nhập khẩu của Đức.<br/>+ Phòng ngủ sàn gỗ nhập khẩu của Đức.<br/>+ Hệ thống Camera KB Vision của Mỹ, bàn ăn Cozy nhập khẩu Hồng Kong, ghế Sofa nhập khẩu Italy...<br/>Chủ nhà cam kết thuê lại từ 1 - 5 năm với giá 15 - 20 triệu/ tháng.<br/>Liên hệ ngay Vân Thy 0987910480 để được tư vấn chi tiết và thương lượng trực tiếp với chủ nhà.",,lovera park,"công viên, hồ bơi, phòng gym","Bình Chánh, quận 7, quận 8",,4,Phong Phú,1.0,1.0,1.0,2.0,6500000000,0,2.0,1.0,6.0,{2},"{5,16}",,10.699048461937501,106.64204071070299,"(106.642040710703,106.642040710703)",81250000.0,,80.0,bdscomvn_25807981,1593090756,1593069153.0,2020-06-25 14:13:05.565751,0.0,0.0,0101000020E6100000F6CAEB3117A95A4077AE14AEE9652540,0.0,,0,0.0,False,3.0,987910480.0,cd8816721bdff5ebf8a9c7ad753e696a,1.0,,0.0,0.0,60464a125cf0a538f8c86143,10.7652375,106.677029,Huyện Bình Chánh
602,60464d205cf0a538f8c88be0,604330eb886de23638253b1e,594100,3,https://batdongsan.com.vn/ban-nha-mat-pho-duong-pham-hung-xa-binh-hung-1-prj-khu-dan-cu-t30/ban-tien-dang-kinh-doanh-spa-1-ham-1-tret-2-lau-san-thuong-gia-18-ty-5-pr25131171,Bán nhà mặt tiền Phạm Hùng đang kinh doanh spa (1 hầm + 1 trệt + 2 lầu + sân thượng) giá 18 tỷ 5,"- Bán nhà góc 2 mặt tiềnđường Phạm Hùng ( nối dài ) thuộc xã Bình Hưng, huyện Bình Chánh đang kinh doanh spa:<br/>+ DT đất: 5x21m (nở hậu) góc, CN 120m2.<br/>+ Hiện trạng nhà: 1 hầm, 1 trệt, 2 lầu + sân thượng.<br/>+ Pháp lý: Sổ hồng.<br/>+ Vị trí: Mặt tiền đường Phạm Hùng 40m. cách ngã 4 Phạm Hùng v nguyễn Văn Linh 1km5.<br/>+ Nhà hiện đang kinh doanh spa cao cấp, nhà góc 2 mặt tiền 40m & 12m, lề đường 8m rộng rãi, đậu xe thoải mái...<br/>+ Giá bán: 18 tỷ 5.<br/>+ Giá thuê: 35 tr/tháng.<br/>- Liên hệ: 093869.1001 Cảnh.",Phạm Hùng,bình hưng,ngã 4,"ngã tư Phạm Hùng, nguyễn Văn Linh",,,,1.0,1.0,5.0,2.0,18500000000,35000000,3.0,4.0,2.0,{2},"{5,21}",,10.7143220620659,106.685945666279,"(106.685945666279,106.685945666279)",158181818.18181798,,120.0,bdscomvn_25131171,1586435623,1586387308.0,2020-04-09 06:09:02.867484,5.7,5.9,0101000020E610000023E0A688E6AB5A40AAC40E9FBB6D2540,1.0,2020-04-09 06:10:00.736589,9,9.0,False,2.0,938691001.0,8ed613405c5b531e6e761f88a513ce67,1.0,,0.0,0.0,60464a125cf0a538f8c86144,10.7663367,106.6608364,Huyện Bình Chánh
603,60464d205cf0a538f8c88be1,604330eb886de23638253b2b,716841,3,https://batdongsan.com.vn/cho-thue-nha-rieng-xa-vinh-loc-a-1/cho-mat-bang-buon-ban-kinh-doanh-4m-20m-gia-6-trieu-pr25814863,"Cho thuê mặt bằng buôn bán kinh doanh 4m  20m , giá 6 triệu","Cho hai mặt bằng buôn bán kinh doanh số 1 : 4m  20m , giá thuê 6 triệu 1 tháng , cọc 2 tháng , nền gạch men, có la phong, nhà mới 100/100. Tiện làm tóc ,Sapa . cho thuê nghề sạch không nấu nướng ,<br/>LH,0968 907 918 chị Loan<br/><br/><br/>Cho thuê mặt bằng buôn bán kinh doanh, nền bê tông ngang 4 dài hình chữ L , giá thuê 5,5 triệu ,1 tháng , làm nghề gì cũng được .<br/>LH, 0968 907 918 chị Loan",,,,,,,,1.0,1.0,5.0,2.0,6000000,6100000,2.0,1.0,6.0,"{2,1}","{0,0}",,10.825456015336599,106.567916470156,"(106.567916470156,106.567916470156)",75000.0,đông,80.0,bdscomvn_25814863,1591938442,1591916758.0,2020-06-25 18:23:02.104092,0.0,0.0,0101000020E6100000618B52BE58A45A408150BC2BA2A62540,0.0,,0,0.0,False,2.0,968907918.0,b5956fc127632e29467b782b48677d96,1.0,,0.0,0.0,60464a125cf0a538f8c86145,10.76292,106.6696593,Huyện Bình Chánh
604,60464d205cf0a538f8c88be2,604330eb886de23638253b2e,614014,3,https://batdongsan.com.vn/cho-thue-nha-rieng-duong-huynh-ba-chanh-xa-tan-kien-prj-khu-can-ho-584-tan-kien/cho-biet-thu-cao-cap-kdc-6b-intresco-moi-dep-gia-30tr-th-lh-c-duyen-0931017279-pr24578339,"Cho thuê biệt thự cao cấp KDC 6B Intresco nhà mới, đẹp giá 30tr/th. LH C. Duyên 0931017279","Chính chủ cần cho thuê biệt thự KDC 6B Intresco. DT 250m2, thiết kế 1 trệt 2.5 lầu áp mái, nhà mới, đẹp, thiết kế theo phong cách hiện đại. Nhà nội thất cao cấp, đầy đủ, 5PN. KDC an ninh, nhiều cây xanh, dân trí cao.<br/>Giao thông thuận tiện đi Q1, Q5, Q7.<br/>Thiện chí cho thuê giá 30tr/ tháng.<br/>Qúy khách hàng có nhu cầu xin liên hệ: C. Duyên 0931017279, A. Hiền 0937777279.",,,br /,"Q 1, Q 5, Q 7, br / > Thiện","an ninh, dân trí cao, Giao thông thuận tiện",5 PN,KDC 6 B Intresco,1.0,1.0,5.0,2.0,30000000,30000000,2.0,6.0,6.0,{2},"{0,0}",,10.708223192988198,106.601022307611,"(106.601022307611,106.601022307611)",11000000.0,,250.0,bdscomvn_24578339,1586855877,1586808840.0,2020-04-14 03:20:03.314904,2.0,3.6,0101000020E6100000D0D6442677A65A404B4EF83A9C6A2540,1.0,2020-04-14 03:21:01.247338,2,7.0,True,2.0,931017279.0,bef8ab39ae5e68570255d730c9608ee1,1.0,,0.0,0.0,60464a125cf0a538f8c86146,10.7618825,106.6637637,Huyện Bình Chánh
605,60464d205cf0a538f8c88be3,604330eb886de23638253b2f,614645,3,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-binh-hung-1-prj-khu-dan-cu-6b-intresco/ban-san-vuon-thoang-mat-con-goi-la-lang-viet-kieu-bc-pr22640340,"Bán biệt thự sân vườn thoáng mát khu dân cư 6B Intresco còn gọi là Làng Việt Kiều, Bình Hưng - BC","Bán biệt thự sân vườn thoáng mát Khu dân cư 6B Intresco còn gọi là Làng Việt Kiều Bình Hưng - Bình Chánh.<br/>Diện tích: 12,5x20m.<br/>Kết cấu 1 hầm 1 trệt 2 lầu, 5PN, nhà đẹp, mới, nội thất cực kỳ cao cấp. Xem thích ngay. KDC thoáng mát, an ninh.<br/>Đây là nơi lý tưởng cho các bậc thượng lưu sau 1 ngày làm việc mệt mỏi và cuối tuần cần sự yên tĩnh với không khí mát mẻ trong lành gần sông tiện ích xung quanh đầy đủ, giao thông thuận tiện đi Q1, Q3, Q5, Q7, Q8, siêu thị, chợ, bệnh viện, trường học,...<br/>Pháp lý sổ hồng chính chủ.<br/>Giá bán: 18tỷ.<br/>Ai cần xem BT alo Linh xin cảm ơn.<br/>0966622053 - 0932067966.",,,"sông, siêu thị, chợ, bệnh viện, trường học","Làng Việt Kiều, Bình Hưng, Q 1, Q 3, Q 5, Q 7, Q 8","thoáng mát, an ninh, yên tĩnh, tiện ích xung quanh đầy đủ, giao thông thuận tiện",5,Làng Việt Kiều Bình Hưng,1.0,1.0,1.0,2.0,18000000000,0,3.0,3.5,6.0,{2},"{12.5,20}",,10.720288805772697,106.68678225402999,"(106.68678225403,106.68678225403)",67422270.4266088,tây,250.0,bdscomvn_22640340,1586866929,1586819337.0,2020-04-14 06:09:01.63229,7.5,3.9,0101000020E6100000F4218E3DF4AB5A40E8EFC0B1C9702540,1.0,2020-04-14 06:10:01.193406,10,7.0,False,2.0,966622053.0,6eb4f1b0afbd538584f885b37cc90160,1.0,,0.0,0.0,60464a125cf0a538f8c86147,10.7618825,106.6637637,Huyện Bình Chánh
